Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	157984.8;	0.0;	7.8;	0.0;	0.26666666666666666
1376315146;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	160780.26666666666;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376315446;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	173362.13333333333;	0.0;	7.133333333333334;	0.0;	0.2
1376315746;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	226489.86666666667;	0.0;	9.0;	0.0;	0.6666666666666666
1376316046;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	176159.73333333334;	0.0;	7.066666666666666;	0.0;	0.2
1376316346;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	197129.6;	0.0;	7.466666666666667;	0.0;	0.4
1376316646;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	162178.13333333333;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376316946;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	212508.26666666666;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376317246;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	163576.53333333333;	0.0;	7.4;	0.0;	0.13333333333333333
1376317546;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	174760.26666666666;	0.0;	7.4;	0.0;	0.13333333333333333
1376317846;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	169169.06666666668;	0.0;	7.2;	0.0;	0.13333333333333333
1376318146;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	152391.2;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376318446;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	171964.8;	0.0;	8.066666666666666;	0.0;	0.2
1376318746;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	174760.53333333333;	0.0;	7.4;	0.0;	0.06666666666666667
1376319046;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	185945.6;	0.4;	8.133333333333333;	0.0;	0.06666666666666667
1376319346;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	232082.13333333333;	0.0;	9.6;	0.0;	0.6
1376319646;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	184546.66666666666;	0.0;	7.2;	0.0;	0.06666666666666667
1376319946;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167770.4;	0.0;	8.066666666666666;	0.0;	0.3333333333333333
1376320246;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	166373.06666666668;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376320546;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	145401.06666666668;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376320846;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	183149.86666666667;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376321146;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	166373.33333333334;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376321446;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	171964.26666666666;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376321746;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	141207.46666666667;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376322046;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	131420.53333333333;	0.0;	8.0;	0.0;	0.13333333333333333
1376322346;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	149596.0;	0.0;	7.8;	0.0;	0.06666666666666667
1376322647;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	157983.73333333334;	0.0;	7.2;	0.0;	0.06666666666666667
1376322947;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	227888.26666666666;	0.0;	9.266666666666667;	0.0;	0.6
1376323247;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	212508.53333333333;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376323547;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	178956.26666666666;	0.0;	7.6;	0.0;	0.3333333333333333
1376323847;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	139809.33333333334;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376324147;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	173363.46666666667;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376324447;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	162178.13333333333;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376324747;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	170566.66666666666;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
